track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,song_match
"Hakuna Matata - From ""The Lion King"" Soundtrack",Nathan Lane,6JVMZsNrp4s6kfFMKZITbM,0.418,0.328,0,-17.067,1,0.127,0.622,1.74e-05,0.128,0.68,164.315,audio_features,6JVMZsNrp4s6kfFMKZITbM,spotify:track:6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/tracks/6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/audio-analysis/6JVMZsNrp4s6kfFMKZITbM,213733,4,3,"hakunamatata-from""thelionking""soundtrack"
"Hakuna Matata - From ""The Lion King"" Soundtrack",Ernie Sabella,6JVMZsNrp4s6kfFMKZITbM,0.418,0.328,0,-17.067,1,0.127,0.622,1.74e-05,0.128,0.68,164.315,audio_features,6JVMZsNrp4s6kfFMKZITbM,spotify:track:6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/tracks/6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/audio-analysis/6JVMZsNrp4s6kfFMKZITbM,213733,4,3,"hakunamatata-from""thelionking""soundtrack"
"Hakuna Matata - From ""The Lion King"" Soundtrack",Jason Weaver,6JVMZsNrp4s6kfFMKZITbM,0.418,0.328,0,-17.067,1,0.127,0.622,1.74e-05,0.128,0.68,164.315,audio_features,6JVMZsNrp4s6kfFMKZITbM,spotify:track:6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/tracks/6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/audio-analysis/6JVMZsNrp4s6kfFMKZITbM,213733,4,3,"hakunamatata-from""thelionking""soundtrack"
"Hakuna Matata - From ""The Lion King"" Soundtrack",Joseph Williams,6JVMZsNrp4s6kfFMKZITbM,0.418,0.328,0,-17.067,1,0.127,0.622,1.74e-05,0.128,0.68,164.315,audio_features,6JVMZsNrp4s6kfFMKZITbM,spotify:track:6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/tracks/6JVMZsNrp4s6kfFMKZITbM,https://api.spotify.com/v1/audio-analysis/6JVMZsNrp4s6kfFMKZITbM,213733,4,3,"hakunamatata-from""thelionking""soundtrack"
It Had to Be You (Big Band and Vocals),"Harry Connick, Jr.",58Znl2X9CgsghGUZrkEUr4,0.543,0.284,5,-13.205,1,0.051,0.683,0.0,0.101,0.409,125.558,audio_features,58Znl2X9CgsghGUZrkEUr4,spotify:track:58Znl2X9CgsghGUZrkEUr4,https://api.spotify.com/v1/tracks/58Znl2X9CgsghGUZrkEUr4,https://api.spotify.com/v1/audio-analysis/58Znl2X9CgsghGUZrkEUr4,158227,4,3,ithadtobeyou(bigbandandvocals)
Nobody Does It Better,Marvin Hamlisch,49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,audio_features,49RUdNvwSiUTC8fBh4KKoC,spotify:track:49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/tracks/49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/audio-analysis/49RUdNvwSiUTC8fBh4KKoC,212667,4,3,nobodydoesitbetter
Nobody Does It Better,Carly Simon,49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,audio_features,49RUdNvwSiUTC8fBh4KKoC,spotify:track:49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/tracks/49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/audio-analysis/49RUdNvwSiUTC8fBh4KKoC,212667,4,3,nobodydoesitbetter
Don't Rain On My Parade,Barbra Streisand,0BhenWIyARdKVvBQ1qhX9i,0.569,0.479,9,-8.081,1,0.143,0.637,0.0,0.226,0.622,88.308,audio_features,0BhenWIyARdKVvBQ1qhX9i,spotify:track:0BhenWIyARdKVvBQ1qhX9i,https://api.spotify.com/v1/tracks/0BhenWIyARdKVvBQ1qhX9i,https://api.spotify.com/v1/audio-analysis/0BhenWIyARdKVvBQ1qhX9i,164400,4,15,don'trainonmyparade
West Side Story: Act I: America,Leonard Bernstein,1RZ6jzlPeEaDeKYe7IJ792,0.413,0.559,2,-8.938,0,0.217,0.653,2.05e-05,0.565,0.7,158.812,audio_features,1RZ6jzlPeEaDeKYe7IJ792,spotify:track:1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/tracks/1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/audio-analysis/1RZ6jzlPeEaDeKYe7IJ792,299000,3,0,westsidestory:acti:america
West Side Story: Act I: America,West Side Story Ensemble (Original Motion Picture Soundtrack),1RZ6jzlPeEaDeKYe7IJ792,0.413,0.559,2,-8.938,0,0.217,0.653,2.05e-05,0.565,0.7,158.812,audio_features,1RZ6jzlPeEaDeKYe7IJ792,spotify:track:1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/tracks/1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/audio-analysis/1RZ6jzlPeEaDeKYe7IJ792,299000,3,0,westsidestory:acti:america
West Side Story: Act I: America,Johnny Green,1RZ6jzlPeEaDeKYe7IJ792,0.413,0.559,2,-8.938,0,0.217,0.653,2.05e-05,0.565,0.7,158.812,audio_features,1RZ6jzlPeEaDeKYe7IJ792,spotify:track:1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/tracks/1RZ6jzlPeEaDeKYe7IJ792,https://api.spotify.com/v1/audio-analysis/1RZ6jzlPeEaDeKYe7IJ792,299000,3,0,westsidestory:acti:america
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,7CAhxeaTYXn1qWNRkZl9ad,0.412,0.473,4,-10.964,1,0.037,0.383,8.41e-05,0.541,0.676,124.411,audio_features,7CAhxeaTYXn1qWNRkZl9ad,spotify:track:7CAhxeaTYXn1qWNRkZl9ad,https://api.spotify.com/v1/tracks/7CAhxeaTYXn1qWNRkZl9ad,https://api.spotify.com/v1/audio-analysis/7CAhxeaTYXn1qWNRkZl9ad,164907,4,4,"everybody'stalkin'-from""midnightcowboy"""
West Side Story: Act II: Somewhere,Leonard Bernstein,7DhQXwTYALJHMqoYaVaTFg,0.229,0.0642,3,-15.848,1,0.0373,0.876,7.47e-05,0.0946,0.0789,96.901,audio_features,7DhQXwTYALJHMqoYaVaTFg,spotify:track:7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/tracks/7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/audio-analysis/7DhQXwTYALJHMqoYaVaTFg,124093,4,3,westsidestory:actii:somewhere
West Side Story: Act II: Somewhere,Marni Nixon,7DhQXwTYALJHMqoYaVaTFg,0.229,0.0642,3,-15.848,1,0.0373,0.876,7.47e-05,0.0946,0.0789,96.901,audio_features,7DhQXwTYALJHMqoYaVaTFg,spotify:track:7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/tracks/7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/audio-analysis/7DhQXwTYALJHMqoYaVaTFg,124093,4,3,westsidestory:actii:somewhere
West Side Story: Act II: Somewhere,Jim Bryant,7DhQXwTYALJHMqoYaVaTFg,0.229,0.0642,3,-15.848,1,0.0373,0.876,7.47e-05,0.0946,0.0789,96.901,audio_features,7DhQXwTYALJHMqoYaVaTFg,spotify:track:7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/tracks/7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/audio-analysis/7DhQXwTYALJHMqoYaVaTFg,124093,4,3,westsidestory:actii:somewhere
West Side Story: Act II: Somewhere,Johnny Green,7DhQXwTYALJHMqoYaVaTFg,0.229,0.0642,3,-15.848,1,0.0373,0.876,7.47e-05,0.0946,0.0789,96.901,audio_features,7DhQXwTYALJHMqoYaVaTFg,spotify:track:7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/tracks/7DhQXwTYALJHMqoYaVaTFg,https://api.spotify.com/v1/audio-analysis/7DhQXwTYALJHMqoYaVaTFg,124093,4,3,westsidestory:actii:somewhere
"Love Theme From ""A Star Is Born"" (Evergreen)",Barbra Streisand,22h7KIfLEzSeNwOg6jRPT0,0.335,0.303,9,-10.943,1,0.0315,0.932,0.0271,0.0907,0.186,114.224,audio_features,22h7KIfLEzSeNwOg6jRPT0,spotify:track:22h7KIfLEzSeNwOg6jRPT0,https://api.spotify.com/v1/tracks/22h7KIfLEzSeNwOg6jRPT0,https://api.spotify.com/v1/audio-analysis/22h7KIfLEzSeNwOg6jRPT0,184800,4,3,"lovethemefrom""astarisborn""(evergreen)"
Over The Rainbow,Judy Garland,3jB0AKX2sMlzAFGxbTpQMl,0.259,0.18,8,-14.476,1,0.0358,0.971,8.37e-05,0.106,0.315,79.261,audio_features,3jB0AKX2sMlzAFGxbTpQMl,spotify:track:3jB0AKX2sMlzAFGxbTpQMl,https://api.spotify.com/v1/tracks/3jB0AKX2sMlzAFGxbTpQMl,https://api.spotify.com/v1/audio-analysis/3jB0AKX2sMlzAFGxbTpQMl,170067,4,3,overtherainbow
Everybody's Gotta Learn Sometimes,Beck,6PFu0gKRvsbd7rTLWJUUQ9,0.637,0.283,10,-14.718,1,0.0323,0.192,0.248,0.108,0.133,134.125,audio_features,6PFu0gKRvsbd7rTLWJUUQ9,spotify:track:6PFu0gKRvsbd7rTLWJUUQ9,https://api.spotify.com/v1/tracks/6PFu0gKRvsbd7rTLWJUUQ9,https://api.spotify.com/v1/audio-analysis/6PFu0gKRvsbd7rTLWJUUQ9,354067,4,7,everybody'sgottalearnsometimes
(Everything I Do) I Do It For You,Bryan Adams,6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,audio_features,6eBK3edMW7bEzecF1eCezc,spotify:track:6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc,394133,4,7,(everythingido)idoitforyou
Ma Ya Hi (Dragostea Din Tei) (feat. Lucas Prata),O-Zone,5tBGVvb39pTM6D9nFBwlRo,0.741,0.938,0,-4.188,1,0.0365,0.182,0.0,0.0558,0.863,130.01,audio_features,5tBGVvb39pTM6D9nFBwlRo,spotify:track:5tBGVvb39pTM6D9nFBwlRo,https://api.spotify.com/v1/tracks/5tBGVvb39pTM6D9nFBwlRo,https://api.spotify.com/v1/audio-analysis/5tBGVvb39pTM6D9nFBwlRo,217120,4,11,mayahi(dragosteadintei)(feat.lucasprata)
Ma Ya Hi (Dragostea Din Tei) (feat. Lucas Prata),Lucas Prata,5tBGVvb39pTM6D9nFBwlRo,0.741,0.938,0,-4.188,1,0.0365,0.182,0.0,0.0558,0.863,130.01,audio_features,5tBGVvb39pTM6D9nFBwlRo,spotify:track:5tBGVvb39pTM6D9nFBwlRo,https://api.spotify.com/v1/tracks/5tBGVvb39pTM6D9nFBwlRo,https://api.spotify.com/v1/audio-analysis/5tBGVvb39pTM6D9nFBwlRo,217120,4,11,mayahi(dragosteadintei)(feat.lucasprata)
The Funeral,Band of Horses,4o0NjemqhmsYLIMwlcosvW,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,audio_features,4o0NjemqhmsYLIMwlcosvW,spotify:track:4o0NjemqhmsYLIMwlcosvW,https://api.spotify.com/v1/tracks/4o0NjemqhmsYLIMwlcosvW,https://api.spotify.com/v1/audio-analysis/4o0NjemqhmsYLIMwlcosvW,321147,4,7,thefuneral
No One's Gonna Love You,Band of Horses,3LeNQIGi0zwmQm8WShZB95,0.313,0.894,1,-3.579,1,0.0294,0.121,0.0,0.0925,0.362,149.043,audio_features,3LeNQIGi0zwmQm8WShZB95,spotify:track:3LeNQIGi0zwmQm8WShZB95,https://api.spotify.com/v1/tracks/3LeNQIGi0zwmQm8WShZB95,https://api.spotify.com/v1/audio-analysis/3LeNQIGi0zwmQm8WShZB95,217333,4,10,noone'sgonnaloveyou
